Tempo;Forca Motriz;Tracao;Energia
44,5910792;5000;5000;0,2603801299
44,5935639;5000;5000;0,2603801299
44,5955668;5000;5000;0,2603801299
44,5975646;5000;5000;0,2603801299
44,5995652;5000;5000;0,2603801299
44,6015856;5000;5000;0,2603801299
44,6035682;5000;5000;0,2603801299
44,6060877;5000;5000;0,2603801299
44,6080751;5000;5000;0,2603801299
44,6106491;5000;5000;0,2603801299
44,612666;5000;5000;0,2603801299
44,6151004;5000;5000;0,2603801299
44,6171337;5000;5000;0,2603801299
44,6200842;5000;5000;0,2603801299
44,6221455;5000;5000;0,2603801299
44,62468;5000;5000;0,2603801299
44,6267247;5000;5000;0,2603801299
44,6286911;5000;5000;0,2603801299
44,631166;5000;5000;0,2603801299
44,6331498;5000;5000;0,2603801299
44,635251;5000;5000;0,2603801299
44,6381484;5000;5000;0,2603801299
44,6402008;5000;5000;0,2603801299
44,6421537;5000;5000;0,2603801299
44,644707;5000;5000;0,2603801299
44,6471596;5000;5000;0,2603801299
44,6492442;5000;5000;0,2603801299
44,6511071;5000;5000;0,2603801299
44,653634;5000;5000;0,2603801299
44,655628;5000;5000;0,2603801299
44,6576233;5000;5000;0,2603801299
44,6596223;5000;5000;0,2603801299
44,6616313;5000;5000;0,2603801299
44,6636772;5000;5000;0,2603801299
44,6662033;5000;5000;0,2603801299
44,6702067;5000;5000;0,2603801299
44,6721598;5000;5000;0,2603801299
44,6748641;5000;5000;0,2603801299
44,6767098;5000;5000;0,2603801299
44,6786513;5000;5000;0,2603801299
44,6806508;5000;5000;0,2603801299
44,6826532;5000;5000;0,2603801299
44,6848049;5000;5000;0,2603801299
44,6867992;5000;5000;0,2603801299
44,6887979;5000;5000;0,2603801299
44,6907989;5000;5000;0,2603801299
44,6928165;5000;5000;0,2603801299
44,6951371;5000;5000;0,2603801299
44,6970828;5000;5000;0,2603801299
44,6990618;5000;5000;0,2603801299
44,7010831;5000;5000;0,2603801299
44,7035849;5000;5000;0,2603801299
44,7055879;5000;5000;0,2603801299
44,7075969;5000;5000;0,2603801299
44,7096057;5000;5000;0,2603801299
44,7119686;5000;5000;0,2603801299
44,7150957;5000;5000;0,2603801299
44,7180526;5000;5000;0,2603801299
44,7199969;5000;5000;0,2603801299
44,7219988;5000;5000;0,2603801299
44,7251027;5000;5000;0,2603801299
44,7274812;5000;5000;0,2603801299
44,7299828;5000;5000;0,2603801299
44,7319121;5000;5000;0,2603801299
44,7345657;5000;5000;0,2603801299
44,7365463;5000;5000;0,2603801299
44,738536;5000;5000;0,2603801299
44,7404698;5000;5000;0,2603801299
44,7424685;5000;5000;0,2603801299
44,7445982;5000;5000;0,2603801299
44,7465359;5000;5000;0,2603801299
44,7485341;5000;5000;0,2603801299
44,7505346;5000;5000;0,2603801299
44,7525349;5000;5000;0,2603801299
44,7550905;5000;5000;0,2603801299
44,7570494;5000;5000;0,2603801299
44,7590439;5000;5000;0,2603801299
44,7610871;5000;5000;0,2603801299
44,7636568;5000;5000;0,2603801299
44,7656301;5000;5000;0,2603801299
44,7678158;5000;5000;0,2603801299
44,7696958;5000;5000;0,2603801299
44,7716857;5000;5000;0,2603801299
44,7737567;5000;5000;0,2603801299
44,7762365;5000;5000;0,2603801299
44,7781637;5000;5000;0,2603801299
44,7801583;5000;5000;0,2603801299
44,7821611;5000;5000;0,2603801299
